case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,collector_signal_type,collector_keyword_hits,adjudication_classification,case_level_true_signal,public_before_announcement,source_text_checked,adjudicated_signal_type,adjudication_excerpt,confidence,recommended_next_action,notes
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-04-28,8-K,0001193125-16-563708,https://www.sec.gov/Archives/edgar/data/1011835/000119312516563708/0001193125-16-563708-index.htm,acquisition_proposal,proposal from|proposal to acquire,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_process,"ng stock. A copy of the press release is attached hereto as Exhibit 99.1 and is also incorporated herein by reference. Item 9.01 Financial Statements and Exhibits. (d) Exhibits. 99.1 Press release dated April 28, 2016, entitled “Medivation Confirms Receipt of Unsolicited Proposal From Sanofi”. -1- SIGNATURE Pursuant to the requirements of the Securities Exchange Act of 1934, the Registrant has duly caused this...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-04-29,8-K,0001193125-16-569536,https://www.sec.gov/Archives/edgar/data/1011835/000119312516569536/0001193125-16-569536-index.htm,acquisition_proposal|unsolicited_proposal,proposal from|unsolicited proposal,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_proposal,"mmunications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Item 8.01 Other Events. On April 29, 2016, Medivation, Inc. (the “Company”) issued a press release to confirm that the Company’s Board of Directors had unanimously rejected an unsolicited proposal from Sanofi to acquire all of the outstanding shares of the Company. A copy of the press release is attached hereto as Exhibit 99.1. On...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-05,10-Q,0001564590-16-018012,https://www.sec.gov/Archives/edgar/data/1011835/000156459016018012/0001564590-16-018012-index.htm,acquisition_proposal|unsolicited_proposal,proposal from|unsolicited proposal,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_proposal,".50 in cash, which followed a private letter received by the Company from Sanofi on April 15, 2016. On April 29, 2016, the Company announced that its Board of Directors, after consultation with its financial and legal advisors, unanimously determined that the unsolicited proposal from Sanofi to acquire Medivation for $52.50 per share in cash substantially undervalues Medivation and is not in the best interests of...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-05,8-K,0001193125-16-579914,https://www.sec.gov/Archives/edgar/data/1011835/000119312516579914/0001193125-16-579914-index.htm,acquisition_proposal,proposal to acquire,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_process,"Company’s press release announcing the first quarter financial results and corporate update is filed pursuant to Item 2.02 as Exhibit 99.1 hereto. Item 8.01 Other Events. On May 5, 2016, the Company issued a press release reiterating its rejection of Sanofi’s proposal to acquire all of the Company’s outstanding stock. A copy of the Company’s press release is attached hereto as Exhibit 99.2. Item 9.01 Financial...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-06,8-K,0001193125-16-580827,https://www.sec.gov/Archives/edgar/data/1011835/000119312516580827/0001193125-16-580827-index.htm,acquisition_proposal|unsolicited_proposal,proposal to acquire|unsolicited proposal,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_proposal,"l for joining us today. In this call, I will update you on the factors that contributed to Medivation’s landmark quarter and the important opportunities that we have in our pipeline. As you know, last week, our Board of Directors unanimously rejected Sanofi’s unsolicited proposal to acquire our Company for $52.50 per share in cash. Medivation has significant value as one of the few profitable commercial-stage...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-25,8-K,0001193125-16-602270,https://www.sec.gov/Archives/edgar/data/1011835/000119312516602270/0001193125-16-602270-index.htm,acquisition_proposal,proposal to acquire,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_process,"ject Sanofi’s attempt to replace the company’s entire Board of Directors with hand-picked nominees through a proposed consent solicitation, which Medivation believes is a tactic for Sanofi to facilitate its substantially inadequate and opportunistically-timed proposal to acquire Medivation. Medivation expects to promptly file consent revocation materials with the U.S. Securities and Exchange Commission. On April 29...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-27,8-K,0001193125-16-606426,https://www.sec.gov/Archives/edgar/data/1011835/000119312516606426/0001193125-16-606426-index.htm,strategic_alternatives,strategic alternatives,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,strategic_alternatives,"nutes ago, we filed our consent revocation statement with the SEC. The filing details our opposition to Sanofi’s tactical maneuver to replace our entire Board with its hand-picked nominees to facilitate its substantially inadequate and opportunistically-timed proposal to acquire Medivation. I hope you take a few moments to review our press release, which can be found here...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-06-13,8-K,0001193125-16-620311,https://www.sec.gov/Archives/edgar/data/1011835/000119312516620311/0001193125-16-620311-index.htm,acquisition_proposal,proposal to acquire,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_proposal,ofi commenced a consent solicitation through which it intends to ask our stockholders to approve the replacement of our entire current Board of Directors with Sanofi’s hand-picked nominees. Sanofi launched this process after our Board determined that Sanofi’s proposal to acquire Medivation at an all cash price of $52.50 was substantially inadequate. This consent solicitation is essentially Sanofi’s attempt to end...,HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-07-05,8-K,0001193125-16-641659,https://www.sec.gov/Archives/edgar/data/1011835/000119312516641659/0001193125-16-641659-index.htm,acquisition_proposal|unsolicited_proposal,proposal to acquire|unsolicited proposal,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_process,"rminate its consent solicitation. Before entering into the confidentiality agreement with Sanofi, Medivation received from Sanofi, and Medivation’s Board of Directors unanimously rejected as not in the best interests of the company and its stockholders, a new unsolicited proposal to acquire Medivation. The proposal, which was conditional upon the execution of a confidentiality agreement and the receipt of...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0005-ACQUIRED-CPXX,CPXX,"Celator Pharmaceuticals, Inc.",2016-05-31,2016-03-23,8-K,0001144204-16-089876,https://www.sec.gov/Archives/edgar/data/1327467/000114420416089876/0001144204-16-089876-index.htm,rofr_rofn,right of first refusal,RIGHTS_LANGUAGE_ONLY,FALSE,TRUE,TRUE,,"e outstanding shares of capital stock of each of the subsidiaries have been duly authorized and validly issued, are fully paid and non-assessable, have been issued in material compliance with all applicable securities laws, were not issued in violation of any preemptive right, resale right, right of first refusal or similar right and are owned by the Company subject to no security interest, other encumbrance or...",LOW,Treat as false positive unless manual review finds company-wide process context.,Rights language is generic securities/legal representation text.
RHC-0012-ACQUIRED-DMTX,DMTX,"Dimension Therapeutics, Inc.",2017-10-03,2017-08-25,8-K,0001193125-17-267472,https://www.sec.gov/Archives/edgar/data/1592288/000119312517267472/0001193125-17-267472-index.htm,acquisition_proposal|competing_bid|retained_advisor|rofr_rofn|unsolicited_proposal,acquisition proposal|financial advisor|right of first refusal|superior proposal|unsolicited proposal,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_process,30 Section 4.13 Information Supplied 30 Section 4.14 Ownership of Company Common Stock 31 Section 4.15 Financial Advisor 31 Article V CERTAIN COVENANTS OF THE PARTIES 31 Section 5.1 Access and Investigation 31 Section 5.2 Conduct of the Parties 31 Section 5.3 Unsolicited Proposals 34 Section 5.4 Adverse Recommendation Change 36 Section 5.5 Preparation of Proxy Statement and Form S-4 37 Section 5.6 Company...,HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
RHC-0012-ACQUIRED-DMTX,DMTX,"Dimension Therapeutics, Inc.",2017-10-03,2017-09-18,8-K,0001193125-17-287461,https://www.sec.gov/Archives/edgar/data/1592288/000119312517287461/0001193125-17-287461-index.htm,acquisition_proposal|retained_advisor|unsolicited_proposal,financial advisor|proposal from|unsolicited proposal,TRUE_PUBLIC_PRIOR_SIGNAL,TRUE,TRUE,TRUE,public_competing_bid_or_process,"stle Chief Operating Officer Dated: September 18, 2017 EXHIBIT INDEX Exhibit No. Description 99.1 Press release issued on September 18, 2017 by Dimension Therapeutics, Inc. EX-99.1 2 d447300dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Dimension Confirms Receipt of Unsolicited Proposal from Ultragenyx CAMBRIDGE, Mass., Sept. 18, 2017 (GLOBE NEWSWIRE) — Dimension Therapeutics, Inc. (Nasdaq:DMTX) (“Dimension”), a leader in...",HIGH,Use as true prior public signal candidate; still do not mark VERIFIED.,Source text contains public pre-announcement proposal/process language.
